algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,train_ITM_only,use_path,price,duration
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8500000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.25091245942084545,8.61561107635498
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8500000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.24806508367198307,8.624577045440674
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8500000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.25652200655892593,8.56317687034607
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.9,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.28580265539731137,8.764103651046753
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.9,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2791402042115098,8.66401219367981
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.9,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.28817636268178587,8.649487018585205
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.9500000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3118801332927859,8.726905584335327
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.9500000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3077464447702996,8.603274822235107
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.9500000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3127032088079343,8.748218536376953
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.999,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3179533455700362,8.34482717514038
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.999,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3146622463346555,8.25912594795227
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.999,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3237731876224274,4.791410207748413
